KIOSK_ID,OPERATOR,STREET,LOCALITY,DISTRICT,REGION,WIFI_PCCW,WIFI_OTHERS
"HCL-0007","HGC","Chater Road","Outside Statue Square","Central and Western","HK","",""
"HCL-0010","HGC","Chater Road","Outside Statue Square","Central and Western","HK","",""
"HCL-0046","HGC","Nathan Road","Outside Parklane Shopper's Boulevard","Yau Tsim Mong","KLN","",""
"HCL-0047","HGC","Nathan Road / Austin Road","Outside Tsim Sha Tsui Police Station","Yau Tsim Mong","KLN","",""
"HCL-0049","HGC","Mody Road","Outside Regal Kowloon Hotel","Yau Tsim Mong","KLN","",""
"HCL-0050","HGC","Mody Road","Outside Shangri-La Hotel","Yau Tsim Mong","KLN","",""
"HCL-0178","HGC","Hong Kong - Shenzhen Western Corridor ","Outside Passenger Terminal Building","Hong Kong Port Area","Shenzhen Bay Port","",""
"HCL-0179","HGC","Hong Kong - Shenzhen Western Corridor ","Outside Passenger Terminal Building","Hong Kong Port Area","Shenzhen Bay Port","",""
"HCL-0180","HGC","Hong Kong - Shenzhen Western Corridor ","Outside Passenger Terminal Building","Hong Kong Port Area","Shenzhen Bay Port","",""
"HCL-0181","HGC","Hong Kong - Shenzhen Western Corridor ","Outside Passenger Terminal Building","Hong Kong Port Area","Shenzhen Bay Port","",""
"HKT-1003","HKT","Stewart Road","Outside Allied Kajima Building","Wan Chai","HK","","Y"
"HKT-1008","HKT","Wun Sha Street","Outside Dragon Centre Tower 1","Wan Chai","HK","Y",""
"HKT-1010","HKT","Hung Shing Ye Beach","Outside Beach Office","Islands","NT","","Y"
"HKT-1015","HKT","Shum Wan Pier Drive","Near Marina Tower / Shum Wan Pier","Southern","HK","Y",""
"HKT-1016","HKT","Shum Wan Road","Near Adventure-Ship, 200 Shum Wan Road","Southern","HK","","Y"
"HKT-1018","HKT","Chengtu Road / Sai On Street","Outside Hoi Shan Court, Aberdeen Centre ","Southern","HK","Y",""
"HKT-1019","HKT","Ap Lei Chau Estate","Outside Bus Terminus, Ap Lei Chau, near Multi-Storey Carpark","Southern","HK","","Y"
"HKT-1020","HKT","Aberdeen Reservoir Road","Outside Pui Tak Canossian Primary School","Southern","HK","Y",""
"HKT-1021","HKT","Nam Long Shan Road","Near Exit, Wong Chuk Hang Service Reservoir Rest Garden","Southern","HK","","Y"
"HKT-1023","HKT","Chengtu Road / Nam Ning Street","Outside Aberdeen Public Market","Southern","HK","Y",""
"HKT-1026","HKT","Wong Chuk Hang Road","Outside Yan's Tower","Southern","HK","Y",""
"HKT-1027","HKT","Wong Chuk Hang Road","Near Casey Aberdeen House / Petroleum Station","Southern","HK","","Y"
"HKT-1032","HKT","Queen's Road Central","Outside Shanghai Commercial Bank Tower","Central and Western","HK","Y",""
"HKT-1036","HKT","Des Voeux Road Central","Outside Statue Square, near Prince's Building","Central and Western","HK","Y",""
"HKT-1042","HKT","Chater Road","Outside St George's Building, near Exit F, MTR's Central Station","Central and Western","HK","Y",""
"HKT-1045","HKT","Queen's Road Central / Pedder Street","Outside Central Building","Central and Western","HK","Y",""
"HKT-1047","HKT","Murray Road","Outside Hutchison House","Central and Western","HK","Y",""
"HKT-1049","HKT","Des Voeux Road Central","Outside Landmark","Central and Western","HK","","Y"
"HKT-1050","HKT","Chater Road","Outside Statue Square, near Bus Stop","Central and Western","HK","Y",""
"HKT-1052","HKT","Caine Road","Outside Long Mansion","Central and Western","HK","Y",""
"HKT-1056","HKT","Queen's Road Central","Outside Hing Wai Building","Central and Western","HK","Y",""
"HKT-1060","HKT","Murray Road","Outside AIA Central","Central and Western","HK","Y",""
